timestamp,coin,price
2026-01-03 19-25-52,bitcoin,91223
2026-01-03 19-25-52,ethereum,3141.68
2026-01-03 19-25-52,binancecoin,880.0
2026-01-03 19-25-52,solana,134.27
2026-01-03 19-25-52,tron,0.294919
2026-01-03 19-25-52,cardano,0.39189
2026-01-03 19-25-52,bitcoin-cash,655.53
2026-01-03 19-25-52,zcash,512.64
2026-01-03 19-25-52,monero,436.09
2026-01-03 19-25-52,sui,1.68
2026-01-03 19-26-12,bitcoin,91223
2026-01-03 19-26-12,ethereum,3141.68
2026-01-03 19-26-12,binancecoin,880.0
2026-01-03 19-26-12,solana,134.27
2026-01-03 19-26-12,tron,0.294919
2026-01-03 19-26-12,cardano,0.39189
2026-01-03 19-26-12,bitcoin-cash,655.53
2026-01-03 19-26-12,zcash,512.64
2026-01-03 19-26-12,monero,436.09
2026-01-03 19-26-12,sui,1.68
